Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,10.2013187,14.4541073,0.177687,12,140,0
Program 02,16.1921902,13.4856462,0.067151,12,149,0
Program 03,31.1142006,5.551568,0.078437,12,141,0
Program 04,21.4192924,8.845048,0.077085,12,91,0
Program 05,14.6823883,10.9071884,0.172409,12,149,0
Program 06,30.9756031,5.6689968,0.068837,12,141,0
Program 07,21.5957203,8.7404146,0.072524,12,91,0
Program 08,35.4595299,2.9563119,0.0653,12,91,0
Program 09,9.1376686,14.3973894,0.240563,12,141,0
Program 10,33.5654564,3.5090351,0.071286,12,149,0
Program 11,14.2754335,13.1756725,0.167612,12,140,0
Program 12,31.2110558,4.9870481,0.091526,12,149,0
Program 13,34.139225,2.881074,0.063845,12,141,0
Program 14,9.0384474,14.3151121,0.114849,10,75,0
Program 15,28.8272686,5.3528481,0.08521,11,128,0
Program 16,29.2500591,5.7638988,0.059644,5,35,0
Program 17,17.4859486,9.7111588,0.072472,12,149,0
Program 18,33.3453445,2.8818619,0.070059,12,141,0
Program 19,5.2194271,14.861413,0.43436,10,120,0
Program 20,9.8058691,12.8081293,0.159184,12,141,0
Program 21,18.0631809,8.9427271,0.073949,13,99,0
Program 22,32.7383881,2.8384221,0.06895,12,149,0
Program 23,27.7624969,5.4626851,0.097533,11,127,0
Program 24,28.0339394,5.688251,0.068105,12,141,0
Program 25,29.9236279,4.5502458,0.076646,7,75,0
Program 26,17.5925484,8.8342562,0.059222,8,59,0
Program 27,30.4790726,3.775404,0.061551,12,140,0
Program 28,11.6849604,13.4023676,0.072326,12,149,0
Program 29,3.8500521,15.6289196,0.195883,12,141,0
Program 30,27.4985161,5.5726442,0.094851,11,83,0
