Time (ns),Memory Usage (%)
77529006,87.5
77650919,87.890625
77824281,88.28125
77954303,88.671875
78058023,89.0625
78178558,89.453125
78293453,89.84375
78394649,90.234375
78508877,90.625
78609646,91.015625
78718516,91.40625
78823121,91.796875
78926827,92.1875
79029999,92.578125
79141629,92.96875
79229105,93.359375
79321415,93.75
79413949,94.140625
79513916,94.53125
79601073,94.921875
79702269,95.3125
79796411,95.703125
79893963,96.09375
79946361,95.703125
79959688,95.3125
79961748,94.921875
79962785,94.53125
79963851,94.140625
79983951,93.75
79985366,93.359375
79995446,92.96875
79996707,92.578125
79997734,92.1875
80007088,91.796875
80112753,92.1875
80212988,92.578125
80324608,92.96875
80422414,93.359375
80531926,93.75
80645504,94.140625
80777043,94.53125
80955894,94.921875
81116096,95.3125
81442975,95.703125
81611584,96.09375
81784311,96.484375
81950165,96.875
82078841,97.265625
82233288,97.65625
82389467,98.046875
82569665,98.4375
82725929,98.828125
82880514,99.21875
83013263,99.609375
83163816,100
83262573,99.609375
83265136,99.21875
83266076,98.828125
83267023,98.4375
83392447,98.828125
83463727,98.4375
83467845,98.046875
83469479,97.65625
83496983,97.265625
83499189,96.875
83500191,96.484375
83501047,96.09375
83501931,95.703125
83514923,95.3125
83791683,95.703125
83840303,96.09375
83942125,96.484375
84111983,96.875
84210616,96.484375
84213135,96.09375
84214384,95.703125
84215256,95.3125
84246845,94.921875
84248969,94.53125
84249853,94.140625
84263238,93.75
84264763,93.359375
84277449,92.96875
84281958,92.578125
84283009,92.1875
84294490,91.796875
84388786,91.40625
84391388,91.015625
84392187,90.625
84392910,90.234375
84409730,89.84375
84411601,89.453125
84412387,89.0625
84426437,88.671875
84428211,88.28125
84439149,87.890625
84440985,87.5
84441958,87.109375
84480875,87.5
84513176,87.109375
84623465,86.71875
84625439,86.328125
84626275,85.9375
84627116,85.546875
84655505,85.9375
84681385,85.546875
84683393,85.15625
84684318,84.765625
84699360,84.375
84700854,83.984375
84711047,83.59375
84712296,83.203125
84713275,82.8125
84722475,82.421875
84823594,82.03125
84825684,81.640625
84826707,81.25
84827567,80.859375
84842150,80.46875
84843685,80.078125
84844508,79.6875
84855347,79.296875
84856744,78.90625
84866788,78.515625
84868108,78.125
84869081,77.734375
84878748,77.34375
84945269,76.953125
84946850,76.5625
84947729,76.171875
84948529,75.78125
84976918,75.390625
84978456,75
84979334,74.609375
84990267,74.21875
84991504,73.828125
85001159,73.4375
85002311,73.046875
85003169,72.65625
85012654,72.265625
85207573,72.65625
86446799,72.265625
86453523,71.875
86454734,71.484375
86457754,71.09375
86458763,70.703125
86511033,70.3125
86532203,69.921875
86548967,69.53125
86551576,69.140625
86596868,68.75
86603147,68.359375
86627575,67.96875
86799916,67.578125
89382763,67.96875
89538149,68.359375
89567918,68.75
89815521,69.140625
90036748,69.53125
90136197,69.921875
90237226,70.3125
90288766,69.921875
90289734,69.53125
90290231,69.140625
90290677,68.75
90309016,68.359375
90309921,67.96875
90310473,67.578125
90320841,67.1875
90321668,66.796875
90330244,66.40625
90331031,66.015625
90335441,65.625
90336210,65.234375
90345745,64.84375
90455735,65.234375
90533399,64.84375
90534531,64.453125
90535029,64.0625
90535399,63.671875
90550375,63.28125
90551273,62.890625
90551823,62.5
90577414,62.109375
90578423,61.71875
90587158,61.328125
90587964,60.9375
90588368,60.546875
90588807,60.15625
90597511,59.765625
90706865,60.15625
90784231,59.765625
90785368,59.375
90785919,58.984375
90786399,58.59375
90800310,58.203125
90801240,57.8125
90801713,57.421875
90811788,57.03125
90812599,56.640625
90821429,56.25
90822328,55.859375
90822798,55.46875
90823239,55.078125
90831953,54.6875
90895271,54.296875
90896115,53.90625
90896591,53.515625
90897048,53.125
90897445,52.734375
90909787,52.34375
90910776,51.953125
90920277,51.5625
90921047,51.171875
90929789,50.78125
90930611,50.390625
90939349,50
90940166,49.609375
90948703,49.21875
91010796,48.828125
91011728,48.4375
91012291,48.046875
91012755,47.65625
91024995,47.265625
91025963,46.875
91026435,46.484375
91035884,46.09375
91036696,45.703125
91045195,45.3125
91045889,44.921875
91046329,44.53125
91054596,44.140625
91114559,43.75
91115360,43.359375
91115888,42.96875
91116306,42.578125
91116770,42.1875
91129081,41.796875
91129944,41.40625
91140066,41.015625
91140798,40.625
91150288,40.234375
91151148,39.84375
91159870,39.453125
91160759,39.0625
91169646,38.671875
91252031,38.28125
91253085,37.890625
91253588,37.5
91254031,37.109375
91266945,36.71875
91267945,36.328125
91268466,35.9375
91278110,35.546875
91278987,35.15625
91287867,34.765625
91475295,34.375
91477754,33.984375
91478308,33.59375
91516585,33.203125
91614816,32.8125
91615721,32.421875
91616150,32.03125
91616563,31.640625
91629003,31.25
91629887,30.859375
91630280,30.46875
91638946,30.078125
91639755,29.6875
91647414,29.296875
91647963,28.90625
91648320,28.515625
91648906,28.125
91656124,27.734375
92615765,27.34375
92618003,26.953125
92618605,26.5625
92619048,26.171875
92644128,25.78125
92645263,25.390625
92645911,25
92655268,24.609375
92656215,24.21875
92664271,23.828125
92665285,23.4375
92665725,23.046875
92666226,22.65625
92694607,22.265625
92859875,22.65625
92985566,23.046875
93103120,23.4375
93193824,23.828125
93243309,23.4375
93244214,23.046875
93244665,22.65625
93245117,22.265625
93259733,21.875
93260717,21.484375
93261271,21.09375
93269524,20.703125
93270406,20.3125
93277808,19.921875
93278603,19.53125
93279044,19.140625
93285873,18.75
94080078,19.140625
94200853,19.53125
94250797,19.921875
94359239,20.3125
94413961,19.921875
94415065,19.53125
94415531,19.140625
94416045,18.75
94433925,18.359375
94434880,17.96875
94435478,17.578125
94443559,17.1875
94444277,16.796875
94450913,16.40625
94451703,16.015625
94452187,15.625
94458867,15.234375
94520724,14.84375
94521576,14.453125
94522037,14.0625
94522508,13.671875
94532106,13.28125
94532920,12.890625
94533324,12.5
94540363,12.109375
94541120,11.71875
94547528,11.328125
94548231,10.9375
94548809,10.546875
94549215,10.15625
94555599,9.765625
94684907,10.15625
94729637,9.765625
94730630,9.375
94731034,8.984375
94731431,8.59375
94747367,8.203125
94748305,7.8125
94748729,7.421875
94756276,7.03125
94757085,6.640625
94764044,6.25
94764771,5.859375
94765224,5.46875
94791844,5.078125
94960343,5.46875
95042151,5.078125
95043194,4.6875
95043623,4.296875
95044118,3.90625
95044488,3.515625
95060613,3.125
95061466,2.734375
95068788,2.34375
95069626,1.953125
95076356,1.5625
95077104,1.171875
95083485,0.78125
95084185,0.390625
95090009,0
