Time (ns),Memory Usage (%)
86686407,87.890625
86871920,88.28125
87053421,88.671875
87246087,89.0625
87478205,89.453125
87656678,89.84375
87744788,90.234375
88144222,90.625
88404751,91.015625
88484224,91.40625
88564472,91.796875
88776795,92.1875
89306224,92.578125
89391188,92.96875
89584471,93.359375
89675663,93.75
89877875,94.140625
90178835,94.53125
90333001,94.921875
90410865,95.3125
90536276,95.703125
90949562,96.09375
91039362,96.484375
91344410,96.875
91595641,97.265625
91779600,97.65625
92526646,98.046875
92639088,98.4375
92902573,98.828125
93026483,99.21875
93217543,99.609375
94036144,100
94680642,99.609375
94689541,99.21875
94701200,98.828125
94705544,98.4375
94709048,98.046875
94812831,98.4375
94849640,98.046875
94855450,97.65625
94898412,97.265625
94904871,96.875
94909053,96.484375
94931603,96.09375
95141828,96.484375
95214387,96.875
95267830,97.265625
95470231,97.65625
95701184,98.046875
95820584,98.4375
96029440,98.828125
96707232,99.21875
96840053,99.609375
97079890,100
104059158,99.609375
104343241,100
104381951,99.609375
104501025,100
104660210,99.609375
104676608,99.21875
104856664,99.609375
104953642,100
105001200,99.609375
105086513,100
105179704,99.609375
105200678,99.21875
105246183,98.828125
105253132,98.4375
105276822,98.046875
105282487,97.65625
105285961,97.265625
105309347,96.875
105594638,97.265625
105741830,97.65625
105841000,98.046875
105968798,98.4375
106081796,98.828125
106172485,99.21875
106423186,99.609375
106557126,100
108053728,99.609375
108067166,99.21875
108071675,98.828125
108075614,98.4375
108134487,98.046875
108141202,97.65625
108150830,97.265625
108179706,96.875
108187957,96.484375
108222452,96.09375
108252130,95.703125
108256447,95.3125
108282161,94.921875
108467811,95.3125
108582435,95.703125
108699308,96.09375
108833346,96.484375
108916211,96.875
108998928,97.265625
109256831,96.875
109268828,96.484375
109273108,96.09375
109276682,95.703125
109323984,95.3125
109330268,94.921875
109334316,94.53125
109357566,94.140625
109361810,93.75
109376603,93.359375
109380560,92.96875
109388190,92.578125
109407411,92.1875
109980988,92.578125
110109663,92.1875
110114923,91.796875
110118526,91.40625
110121854,91.015625
110145664,90.625
110149634,90.234375
110152688,89.84375
110169084,89.453125
110173062,89.0625
110188402,88.671875
110192230,88.28125
110198824,87.890625
110202613,87.5
110218400,87.109375
110526586,87.5
110639092,87.109375
110644030,86.71875
110647197,86.328125
110650121,85.9375
110670290,85.546875
110673756,85.15625
110676705,84.765625
110695968,84.375
110699677,83.984375
110714304,83.59375
110717835,83.203125
110722545,82.8125
110738831,82.421875
111143721,82.8125
111584121,83.203125
111827715,83.59375
111899022,83.984375
111956720,83.59375
111962852,83.203125
111967025,82.8125
111970692,82.421875
112002440,82.03125
112009030,81.640625
112032944,81.25
112055401,80.859375
112062447,80.46875
112076711,80.078125
112080280,79.6875
112083451,79.296875
112099636,78.90625
112355801,78.515625
112362253,78.125
112365913,77.734375
112369483,77.34375
112398125,76.953125
112402545,76.5625
112406092,76.171875
112423903,75.78125
112427934,75.390625
112433774,75
112437585,74.609375
112440891,74.21875
112461893,73.828125
112634067,73.4375
112644913,73.046875
112648583,72.65625
112651644,72.265625
112680804,71.875
112685161,71.484375
112690668,71.09375
112710704,70.703125
112714955,70.3125
112731134,69.921875
112735985,69.53125
112742117,69.140625
112757867,68.75
112882048,68.359375
112889670,67.96875
112893584,67.578125
112897198,67.1875
112925760,66.796875
112930634,66.40625
112951392,66.015625
112982435,65.625
112986925,65.234375
113005654,64.84375
113009364,64.453125
113012475,64.0625
113031064,63.671875
113536654,64.0625
113777156,63.671875
113786284,63.28125
113850368,62.890625
113856252,62.5
113860210,62.109375
113895987,61.71875
113900601,61.328125
113922826,60.9375
113931112,60.546875
113954846,60.15625
113960358,59.765625
114036595,60.15625
114096630,59.765625
114125006,59.375
114361133,58.984375
114368531,58.59375
114372838,58.203125
114377263,57.8125
114408783,57.421875
114413843,57.03125
114420172,56.640625
114441766,56.25
114445795,55.859375
114460877,55.46875
114465731,55.078125
114468903,54.6875
114483264,54.296875
114566556,53.90625
114571750,53.515625
114575084,53.125
114578555,52.734375
114600288,52.34375
114604252,51.953125
114607863,51.5625
114623893,51.171875
114627924,50.78125
114643391,50.390625
114649228,50
114652462,49.609375
114655641,49.21875
114671310,48.828125
114733233,48.4375
114738150,48.046875
114742885,47.65625
114746111,47.265625
114754583,46.875
114773593,46.484375
114777204,46.09375
114793318,45.703125
114796918,45.3125
114812902,44.921875
