Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,8.4967442,4.9459991,0.327849,12,140,0
Program 02,15.9056435,1.961663,0.285017,12,149,0
Program 03,11.893466,2.3861179,0.33489,12,141,0
Program 04,5.2154789,0.18314,6.7456608,12,91,0
Program 05,15.8568401,1.938612,0.351108,12,149,0
Program 06,11.904109,2.327862,0.335936,12,141,0
Program 07,5.9093161,0.069834,6.6562681,12,91,0
Program 08,6.2921,0.056501,6.0158319,12,91,0
Program 09,14.6107607,0.031822,2.117595,12,141,0
Program 10,15.7448473,2.1980121,0.395722,12,149,0
Program 11,8.0855083,5.0192428,0.29839,12,140,0
Program 12,15.7762403,2.2700191,0.555163,12,149,0
Program 13,14.5680857,0.026399,1.852451,12,141,0
Program 14,6.2838092,0.048994,5.572638,10,75,0
Program 15,14.6491547,1.677583,0.266724,11,128,0
Program 16,6.624835,5.2508922,0.203005,5,35,0
Program 17,15.6777678,2.6132259,0.177246,12,149,0
Program 18,14.6511459,1.650907,0.217181,12,141,0
Program 19,15.6907406,2.5780499,0.206502,10,120,0
Program 20,14.6574831,1.853097,0.223555,12,141,0
Program 21,6.6757522,5.1839042,0.239785,13,99,0
Program 22,15.6517982,2.6502969,0.234719,12,149,0
Program 23,8.4720726,4.2163019,0.256984,11,127,0
Program 24,14.5619392,1.845753,0.255675,12,141,0
Program 25,8.6098595,4.2053299,0.29801,7,75,0
Program 26,6.6954899,5.1981502,0.44129,8,59,0
Program 27,8.7107258,4.2734542,0.266084,12,140,0
Program 28,18.4061146,0.03744,0.14722,12,149,0
Program 29,14.4249468,1.7702481,0.471901,12,141,0
Program 30,6.7205682,5.075202,0.217901,11,83,0
