Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,25.2294769,0.373866,44.6707191,12,140,0
Program 02,29.6279984,0.108783,39.5952034,12,149,0
Program 03,30.3221684,0.046936,37.5671349,12,141,0
Program 04,32.8372269,0.098258,33.9967117,12,91,0
Program 05,34.6157341,32.3124504,0.691727,12,149,0
Program 06,35.8845749,31.4449406,1.044124,12,141,0
Program 07,38.5819778,27.2577629,0.521435,12,91,0
Program 08,43.0524292,22.3678474,0.519024,12,91,0
Program 09,44.1375694,21.5614719,0.95623,12,141,0
Program 10,44.0324898,21.3344021,0.414259,12,149,0
Program 11,45.4023018,19.9926949,0.728477,12,140,0
Program 12,47.5026627,17.9343147,0.221844,12,149,0
Program 13,49.0365448,16.3315144,0.274473,12,141,0
Program 14,52.4268951,13.134841,0.327199,10,75,0
Program 15,52.5521927,11.9959946,0.10752,11,128,0
Program 16,64.6357651,0.036103,2.08691,5,35,0
Program 17,64.4919662,0.033813,1.694447,12,149,0
Program 18,64.2724152,0.02446,1.409049,12,141,0
Program 19,64.1833267,1.438462,0.35394,10,120,0
Program 20,63.9673615,1.628808,0.252525,12,141,0
Program 21,63.7389755,1.759982,0.276473,13,99,0
Program 22,63.5457039,1.854056,0.282857,12,149,0
Program 23,62.775753,1.9371901,1.555636,11,127,0
Program 24,62.4820786,1.903129,0.226761,12,141,0
Program 25,62.3120499,1.8345031,0.35205,7,75,0
Program 26,61.9289284,1.982699,1.698625,8,59,0
Program 27,61.693203,1.983624,1.752352,12,140,0
Program 28,61.4749947,2.0169921,0.076202,12,149,0
Program 29,61.2249298,2.343873,0.093076,12,141,0
Program 30,60.8882484,2.461364,0.075,11,83,0
